X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
125.620522096122,7.09643945781085,"11918986693",node,12.5,pharmacy,pharmacy,JFCK Enterprise,,,,,,,,,,,,,,,,,,,,,,,,151557648,1,2024/05/20 02:20:43+00,67b79b38e14a4b3ca68a5867ab982fb9
121.022381425052,14.6050777372299,"5868381611",node,18.75,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,G. B. Santos Street,,,151562454,6,2024/05/20 06:36:44+00,254d4f6143da4d279ccd387507adbb85
121.022838574051,14.6049713708787,"4217156094",node,25,pharmacy,pharmacy,Mercury Drug,,,,,,Mo-Su 09:00-21:00,,,,,yes,,,,,,,,,,N. Domingo Street,"1500",,151562454,4,2024/05/20 06:36:44+00,5fc44812e9a847848f42f945d2b01eda
123.879073249997,10.2988052444026,"11843045944",node,12.5,dentist,dentist,Daclan Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,151576831,2,2024/05/20 12:16:08+00,6874b020d3ae4776af7df2781edd7fa0
123.884990035447,10.297961270572,"413986571",node,12.5,pharmacy,pharmacy,"NRMJ Quality Drug ,Inc.",,,,,,,,,,,,,,,,,,,,,,,,151576831,5,2024/05/20 12:16:08+00,e839876121d74c82b665707e68704461
123.884806639406,10.2981511206789,"4195029996",node,18.75,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,Katipunan Street,,,151576831,4,2024/05/20 12:16:08+00,81618213e64543708bd848e4f60be348
123.87950324163,10.2975698356938,"11555599369",node,12.5,clinic,clinic,Dr Alfredo Simon / City Doctors  med clinic and pharmacy,,,,,,,,,,,,,,,,,,,,,,,,151576831,2,2024/05/20 12:16:08+00,b8c3d22883a740de83ec21f24483d96c
123.878692376317,10.2995105815546,"8689705340",node,15.625,pharmacy,pharmacy,GV Botica,,,,,,,,,,,,,,,,,,,,,Katipunan Street,,,151576831,2,2024/05/20 12:16:08+00,408525735e484d5aa091ac90db68f9da
123.86972038716,10.296603653715,"7409698589",node,15.625,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,,,,151576831,3,2024/05/20 12:16:08+00,4a47dc26aa494e2bbd43978a791f2f24
123.882765729802,10.2977034432304,"7509644085",node,25,dentist,dentist,Dr. Blinky Dental Clinic,,,,,,Mo-Sa 09:00-18:00,,,,,,,,,,,,,,"647",Tres de Abril Street,"6000",,151576831,4,2024/05/20 12:16:08+00,680a22b88be046af9370af9148bd10a9
123.878800838144,10.2998322789984,"11555612469",node,12.5,pharmacy,pharmacy,MedEssential pharmacy,,,,,,,,,,,,,,,,,,,,,,,,151576831,2,2024/05/20 12:16:08+00,882c0f07cadc431ea897e5b39242a095
123.885339896086,10.2976586838675,"10821089963",node,12.5,pharmacy,pharmacy,La Nueva Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,151576831,2,2024/05/20 12:16:08+00,59c59ce2876048d78743808e5c120d63
123.878193233983,10.2974668221038,"10731981457",node,12.5,dentist,dentist,Rhed Owl Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,151576831,2,2024/05/20 12:16:08+00,0088285589934c98abf7c580ce7f72db
123.903411027871,10.3286761680182,"11921106360",node,15.625,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,151606356,1,2024/05/21 03:10:42+00,196c356a4dad44a7b1f8c258867ea242
123.89398398519,10.3099339810651,"369910792",node,18.75,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,limited,,,,,,,,,,,,151622977,8,2024/05/21 11:14:45+00,f315a0b524734446bebac36e287ac80c
123.899120331636,10.2966178191314,"5521723959",node,15.625,pharmacy,pharmacy,ThreeSixty,,,,,,,,,,,yes,,,,,,,,,,,,,151622977,3,2024/05/21 11:14:45+00,ca025e000b3f49f28354068980741bbc
123.902228844247,10.2979076263917,"3828167874",node,15.625,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,,,,151622977,5,2024/05/21 11:14:45+00,7b07e48044ae42e7b98bbeb5cac586a9
123.902549452043,10.297791956128,"7843264785",node,18.75,clinic,clinic,St Peter - Paul Medical Clinic,,,,,,,,,,,,,,,,,,,,,Colon Street,,Cebu,151622977,3,2024/05/21 11:14:45+00,cb8a0047362649e79463ab3cd6aa6080
123.893848449816,10.29839687808,"10944318719",node,15.625,pharmacy,pharmacy,ThreeSixty,,,,,,,,,,,yes,,,,,,,,,,,,,151622977,2,2024/05/21 11:14:45+00,9acb8db183134bcd96962a665a075383
123.900105289078,10.3114044183388,"10839105875",node,12.5,pharmacy,pharmacy,Dalmanutha Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,151622977,2,2024/05/21 11:14:45+00,32079a4d8a2d4b24b885503e29839109
123.877110459731,10.3040456940857,"7409698587",node,25,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Salvador Extension,"6000",Cebu City,151622977,5,2024/05/21 11:14:45+00,d0e3005909c6425c96f0bb2c6e223c41
121.046862365831,14.4819548718668,"11922727137",node,9.375,pharmacy,,TGP,,,,,,,,,,,,,,,,,,,,,,,,151636892,1,2024/05/21 16:24:14+00,9c6f71c2c5ff418ea96a0a5a467cea08
121.085206555365,14.5761198543271,"2293161038",node,21.875,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,F. Legaspi Street,,Pasig,151649594,4,2024/05/21 22:05:03+00,d09cfa4a83db4ee195ae3464fe08b759
121.08535499887,14.5764238659552,"2293161448",node,28.125,,laboratory,Hi-Precision Diagnostics,Hi-Precision Diagnostics,,"diagnostic_radiology;radiology",private,,,,,,,,,no,,,,,,,,F. Legaspi Street,,Pasig,151649594,5,2024/05/21 22:05:03+00,e430a3e77bf44c6facf9a73502be2311
121.123334994711,14.6291482162114,"11925847904",node,12.5,pharmacy,pharmacy,Watsons,,,,,,,,,,,,,,,,,,,,,,,,151678419,1,2024/05/22 14:02:31+00,be58dc78c4404b37b804d83ec1ec96b4
121.122992761605,14.6292177860077,"11925847907",node,15.625,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,,,,151678419,1,2024/05/22 14:02:31+00,afa163700c1b44ef96aa8ed7f2da55a2
121.064070832142,14.5485071830645,"1585275393",node,15.625,pharmacy,pharmacy,TGP,,,,,,,,,,,no,,,,,,,,,,,,,157651184,4,2024/10/09 02:20:40+00,1ad6d07310a74921884a95d129fcf778
121.078865897072,14.5786272168424,"11927216112",node,9.375,dentist,,,"Cecilia Francisca, DMD;Legaspi Santiago, DMD",,,,,,,,,,,,,,,,,,,,,,,151702166,1,2024/05/23 02:40:41+00,58a05652e2964591b7130c74897d5582
121.080287216393,14.5795396708219,"6501474002",node,18.75,pharmacy,pharmacy,Farmacia ni Dok,,,,,,,,,,,yes,,,,,,,,,,C. Santos Street,,,151702646,2,2024/05/23 03:16:53+00,27df61c3475142e089ffc70b455d15af
121.084506498812,14.5864140887096,"9760986912",node,15.625,pharmacy,,Alphaline Drugstore,,extrapolation,,,,,,,,,,,,,,,,,,,Dr. Sixto Antonio Avenue,,,151745547,2,2024/05/23 22:43:28+00,2b70925f4be54fdca954585b465f78d1
120.881126323829,15.0315839232346,"11929570842",node,31.25,clinic,"doctors;clinic",OB-GYN Clinic,Adelyn U. Sahagun,survey,gynaecology,private,,Su 10:00-14:00,,,,,,,,,water_works,,,,,,,,,151745875,1,2024/05/23 23:06:16+00,cf87bda12de544bbb70ff71f33440b28
121.084715962572,14.5874356750684,"11929727314",node,9.375,pharmacy,,,,,,,,,,,,,,,,,,,,,,,Dr. Sixto Antonio Avenue,,,151747773,1,2024/05/24 01:44:09+00,ef175873a77543fbb9fceb83f412e536
121.086469624354,14.5914088648107,"4352138103",node,25,dentist,dentist,,"Emma Daylusan, DMD",,,,,,,,,,,,,,,,,,,"6",Amang Rodriguez Avenue,"1609",Pasig,151751582,4,2024/05/24 05:47:07+00,1d70abbe5ad442948fb9b170bfc465a9
121.089013699606,14.5895455677352,"11532979431",node,18.75,clinic,clinic,Merci Hub,,,,,,,,,,,,,,,,,,,,2151 Pointe,C. Raymundo Avenue,,,151753251,2,2024/05/24 06:46:44+00,8cf5fcd354044983a27e008f495eba56
,,"399861854",way,18.75,clinic,,Saint Odile Surgicenter,,,,,,,,,,,,,,,,,,,,,Marcelo H. del Pilar Avenue,"4001",Alaminos,79182227,2,2020/01/04 07:36:51+00,53593f46144944c4910d1cba319d82a7
121.142212381762,14.2672178886361,"11930763269",node,18.75,hospital,hospital,Lying-In,,,,,,,,,,,,,,,,,,,,,,"4025",Cabuyao,151772010,1,2024/05/24 14:09:48+00,ee24c1e70db54d32a13891e92566b8f3
121.066275188857,14.6155390229428,"11930892368",node,12.5,dentist,dentist,SmileCreations,,,,,,,,,,,,,,,,,,,,,,,,151776054,1,2024/05/24 15:23:13+00,b80b7f6bc1a647f1a63299e8c0ca0485
121.064413987258,14.6181431964397,"11930892339",node,9.375,,rehabilitation,Quality Life Discoveries,,,,,,,,,,,,,,,,,,,,,,,,151776054,1,2024/05/24 15:23:13+00,4029724d77714c1bad3d9c712bca6c8c
121.064754124889,14.6174666930346,"11930892362",node,9.375,,laboratory,F.A.S.T Laboratory,,,,,,,,,,,,,,,,,,,,,,,,151776054,1,2024/05/24 15:23:13+00,cb8c9285248c4c3da9c2e87d5238af09
121.066050972948,14.6139412645598,"11930892351",node,12.5,clinic,clinic,Better World Cubao,,,,,,,,,,,,,,,,,,,,,,,,151776054,1,2024/05/24 15:23:13+00,8743186117f742dd99fc601e2002a0cc
121.048504129206,14.493341687328,"6364087416",node,15.625,dentist,dentist,Valencia Dental,,,,,,,,,,,,,,,,,,,,,Chavez Street,,,151779768,3,2024/05/24 16:46:19+00,3933c196b2db45d6a5892db6469233e5
121.008329080562,14.4922536324771,"11931376939",node,9.375,,laboratory,B & W Medical Clinic & X-Ray Laboratory,,,,,,,,,,,,,,,,,,,,,,,,151784172,1,2024/05/24 18:36:54+00,f3a42d74a24f4649b303318960c2b901
121.045245748166,14.6757084310548,"1588109986",node,15.625,doctors,doctor,Tandang Sora Medical Dental Ob-gyne Clinic,,,,,,,,,,,,,,,,,,,,,Tandang Sora Avenue,,,108444960,3,2021/07/22 18:19:03+00,61db641d01ba430087813384cd41c3cb
125.686662436778,7.31399334724102,"11932090461",node,12.5,pharmacy,pharmacy,Amesco Drug,,,,,,,,,,,,,,,,,,,,,,,,151793101,1,2024/05/25 03:03:17+00,806d161c7d1341cfb4a67de1c0173381
125.686648858095,7.31366092096115,"11932090462",node,12.5,pharmacy,pharmacy,MLT Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,151793101,1,2024/05/25 03:03:17+00,700ba1cac4ff428e99dfc5ee2a36b86c
